German,English,DateAdded,DateObj
Muskel,Muscle,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Nase,Nose,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Kaffee,Coffee,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Tee,Tea,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Advent,Advent,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Dekoration,Decoration,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Kostüm,Costume,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Karneval,Carnival,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Nikolaus,Nicholas,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Bikini,Bikini,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Bluse,Blouse,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Hut,Hat,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Jacke,Jacket,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Socke,Sock,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Socken,Socks,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Tshirt,Tshirt,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Architekt,Architect,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Architektur,Architecture,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Ästhetik,Aesthetics,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Ballett,Ballet,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Einfluss,Influence,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Galerie,Gallery,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
Impressionismus,Impressionism,6 octo 2025 : Monday 1:03 AM Night (Night),2025-10-06 01:03:51
